COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
WD117,Psychiatric Nursing,366,,388,366,,,,8
WD120,Intellectual Disability Nursing,377,,388,377,,,,8
WD126,Agriculture,327,,430,327,,,,6/7
WD134,International Business,290,,362,290,,,,8
WD137,Design (Visual Communications),271,,351,271,,,,8
WD139,Civil Engineering,206,,379,206,,,,6/7
WD140,Laws,280,,367,280,,,,8
WD144,Architecture,284,,359,284,,,,8
WD147,Pharmaceutical Science,293,,390,293,,,,8
WD149,Early Childhood Studies,271,,368,271,,,,8
WD150,Criminal Justice Studies,270,,331,270,,,,8
WD151,Software Systems Development,AQA,,356,AQA,,AQA,,6/7
WD152,Visual Art,AQA,,317,AQA,,,,8
WD153,Multimedia Applications Development,163,,353,163,,,,6/7
WD155,Information Technology,211,,338,211,,,,6/7
WD159,Business,195,,388,195,,,,6/7
WD161,Computer Forensics and Security,255,,380,255,,,,8
WD162,Quantity Surveying,216,,306,216,,,,8
WD163,Psychology,434,,473,434,,,,8
WD164,Food Science with Business,309,,440,309,,,,6/7
WD172,Culinary Arts,AQA,,301,AQA,,AQA,,6/7
WD173,Hospitality Studies,AQA,,310,AQA,,,,6/7
WD174,Tourism,AQA,,226,AQA,,,,6/7
WD175,Pharmaceutical Science,226,,392,226,,,,6/7
WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",222,,473,222,,,,6/7
WD182,Electrical Engineering,AQA,,302,AQA,,,,6/7
WD184,Retail Management,163,,346,163,,,,6/7
WD186,Sports Coaching and Performance,270,,344,270,,,,8
WD187,Social Science,272,,348,272,,,,8
WD188,Applied Health Care,201,,349,201,,,,6/7
WD191,Agricultural Science,377,,420,377,,,,8
WD192,Social Care Practice,270,,326,270,,,,8
WD193,Marketing and Digital Media,271,,347,271,,,,8
WD194,Culinary Arts,217,,321,217,,,,8
WD195,Architectural and Building Information Modelling Technology,279,,367,279,,,,8
WD200,Arts (options),AQA,,336,AQA,,AQA,,8
WD205,Molecular Biology with Biopharmaceutical Science,228,,446,228,,,,6/7
WD206,Electronic Engineering,179,,373,179,,,,6/7
WD207,Mechanical Engineering,198,,365,198,,,,6/7
WD208,Manufacturing Engineering,188,,339,188,,,,6/7
WD210,Software Systems Development,279,,337,279,,,,8
WD211,Creative Computing,271,,318,271,,,,8
WD212,Recreation and Sport Management,270,,349,270,,,,8
WD230,Mechanical and Manufacturing Engineering,253,,369,253,,,,8
