,COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL
95,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,,434,330,,,,8
96,CK113,Criminology - 3 years or 4 years (International Pathway),423,,463,423,,,,8
97,CK114,Social Science (Youth and Community Work) - 3 years,777,,,,,,,8
98,CK115,Social Work - Mature Applicants only,999,,,,,,,8
99,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,,378,336,,,,8
100,CK120,Applied Psychology,531,*,555,533,*,532,*,8
101,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,,496,466,,,,8
102,CK122,Government and Political Science,326,,403,337,,328,,8
103,CK123,Anthropology,308,,410,308,,,,8
104,CK124,Education - Gaeilge,452,*,495,463,,462,,8
105,CK125,Sports Studies and Physical Education,509,*,532,510,*,509,*,8
106,CK201,Commerce,477,*,509,477,*,,,8
107,CK202,Accounting,509,,542,509,,,,8
108,CK203,Business Information Systems,430,,467,430,,,,8
109,CK204,Finance,556,,590,556,,,,8
110,CK205,Commerce (International) with French,445,,495,445,,,,8
111,CK206,Commerce (International) with German,418,,476,420,,418,,8
112,CK207,Commerce (International) with Italian,388,,455,388,,,,8
113,CK208,Commerce (International) with Hispanic Studies,402,,484,402,,,,8
114,CK209,Commerce (International) with Irish,484,,531,484,,,,8
115,CK211,Commerce (International) with Chinese Studies,397,,433,397,,,,8
116,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,,473,444,,,,8
117,CK213,Food Marketing and Entrepreneurship,462,,476,462,,,,8
118,CK214,International Development,346,,422,346,,,,8
119,CK301,Law (Pathways) -  3 or 4 years,498,*,531,507,,499,,8
120,CK302,Law and French,542,,576,542,,,,8
121,CK304,Law and Irish,540,,565,540,,,,8
122,CK307,Law and Business,556,,589,556,,,,8
123,CK401,Computer Science,468,,509,468,,,,8
124,CK402,Biological and Chemical Sciences,509,,532,510,*,509,*,8
125,CK404,"Biological, Earth and Environmental Sciences",465,,498,467,,,,8
126,CK405,Genetics,487,,498,487,,,,8
127,CK406,Chemical Sciences,462,,494,485,,472,,8
128,CK407,Mathematical Sciences,565,,601,566,,565,*,8
129,CK408,Physics and Astrophysics,531,*,589,554,,542,,8
130,CK409,Industrial Physics - Offered jointly by UCC and CIT,432,,499,432,,,,8
131,CK411,Data Science and Analytics,509,,554,510,,,,8
132,CK412,Agricultural Science,489,*,510,496,*,496,*,8
133,CK504,Nutritional Sciences,517,*,554,518,,,,8
134,CK505,Food Science,420,,465,441,,440,*,8
135,CK600,Engineering,487,,532,487,,,,8
136,CK606,Architecture - Offered jointly by UCC and CIT,469,,510,484,,476,,8
137,CK701,Medicine (Undergraduate Entry - HPAT required),731,,739,731,,,,8
138,CK702,Dentistry,613,*,613,613,*,613,*,8
139,CK703,Pharmacy,589,*,602,590,,589,*,8
140,CK704,Occupational Therapy,555,*,577,566,,555,*,8
141,CK705,Speech and Language Therapy,520,,541,520,,,,8
142,CK706,Public Health Sciences,454,,477,454,,,,8
143,CK707,Medical and Health Sciences,541,,555,542,,541,,8
144,CK710,General Nursing,454,*,477,454,*,,,8
145,CK712,Children`s and General Nursing (Integrated),533,,553,533,,,,8
146,CK720,Mental Health Nursing,419,,440,423,,,,8
147,CK730,Intellectual Disability Nursing,400,,433,419,,411,,8
148,CK740,Midwifery,473,*,507,484,,,,8
149,CK791,Medicine  - Graduate Entry (GAMSAT required),57,*,58,57,*,,,8
150,CM001,Education - Primary Teaching,484,*,487,484,*,,,8
151,CM002,Education - Primary Teaching - Gaeltacht Applicants,,,,,,,,8
152,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,,570,528,,,,8
153,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,,513,494,,,,8
154,CM010,Education Studies,317,,407,319,,,,8
155,CM020,Early Childhood Education,327,,390,327,,,,8
156,CR001,Applied Physics and Instrumentation,250,,487,250,,,,7
157,CR006,Applied Biosciences,361,,489,361,,,,7
158,CR007,Analytical and Pharmaceutical Chemistry,240,,487,240,,,,7
159,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,,422,321,,,,7
160,CR016,Software Development,307,,413,307,,,,7
161,CR021,Business (Common Entry),255,,433,255,,,,7
162,CR022,Business Administration,190,,336,190,,,,7
163,CR031,Social Care Work,346,,411,346,,,,7
164,CR032,Recreation and Leisure Management,298,,378,298,,,,7
165,CR035,Community Development,100,,251,100,,,,7
166,CR041,Tourism Management,216,,399,216,,,,7
167,CR042,Hospitality Management,208,,316,208,,,,7
168,CR046,Automotive Technology and Management,216,,337,216,,,,7
169,CR051,Civil Engineering,248,,451,248,,,,7
170,CR052,Construction,251,,367,251,,,,7
171,CR053,Interior Architecture,308,,434,308,,,,7
172,CR055,Environmental Engineering,258,,409,258,,,,7
173,CR061,Electronic Engineering,260,,444,260,,,,7
174,CR062,Electrical Engineering,300,,401,300,,,,7
175,CR071,Mechanical Engineering,261,,444,261,,,,7
176,CR075,Biomedical Engineering,306,,498,306,,,,7
177,CR090,Architectural Technology,266,,411,266,,,,7
178,CR094,Nautical Science at National Maritime College of Ireland,243,,380,243,,,,7
179,CR095,Marine Engineering at National Maritime College of Ireland,255,,389,255,,,,7
