,COURSE TITLE
1027,Environmental Science with Ecology (Level 8)
1028,Health and Medical Information Science (Online)
1029,Business Administration
1030,Business
1031,Marketing and Sales
1032,Culinary Arts
1033,Science (Biological and Environmental Studies)
1034,Pharmacy Technician
1035,"Animation, Visual Effects and Motion Design (Level 7)"
1036,"TV, Radio and New Media (Level 7)"
1037,Computing with Software Development
1038,Computing with Games Development
1039,Computing (Degree Award options)
1040,Computer Systems and Networking
1041,Business (Major Specialism in: Acctng or Mktg or Mgmnt)
1042,Agricultural Mechanisation
1043,Agricultural Engineering
1044,Civil and Environmental Engineering
1045,Engineering in Mechanical and Manufacturing Engineering
1046,Agricultural Science
1047,Pharmaceutical Science (Degree Award options)
1048,Animal Bioscience
1049,Health and Leisure (Degree Award Options)
1050,Health and Leisure with Massage
1051,Coaching and Sports Performance
1052,Early Childhood Care and Education
1053,Social Care
1054,"Animation, Visual Effects and Motion Design (Level 8)"
1055,"TV, Radio and New Media (Level 8)"
1056,Computing with Software Development
1057,Computing with Games Development
1058,Computing (Degree Award options)
1059,Event Management (3 year programme)
1060,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt)
1061,Agricultural Engineering
1062,Civil Engineering
1063,Manufacturing Engineering
1064,Agricultural Science
1065,Wildlife Biology (Degree Award options)
1066,Pharmaceutical Science (Degree Award options)
1067,Veterinary Bioscience
1068,Health and Leisure (Degree Award options)
1069,Health and Leisure with Massage
1070,Coaching and Sports Performance
1071,Early Childhood Care and Education
1072,Social Care
1073,Counselling with Addiction - Mature applicants only
1074,General Nursing and Mature Applicants
1075,Mental Health Nursing and Mature Applicants
1076,Music
1077,History
1078,Law
1079,Philosophy
1080,Psychology
1081,Clinical Speech and Language Studies
1082,Music Education
1083,History and Political Science
1084,"Philosophy, Political Science, Economics and Sociology"
1085,Deaf Studies
1086,Law and Business
1087,Law and French
1088,Law and German
1089,Law and Political Science
1090,"Classics, Ancient History and Archaeology"
1091,Early and Modern Irish
1092,English Studies
1093,European Studies
1094,Drama and Theatre Studies
1095,Ancient and Medieval History and Culture
1096,Political Science and Geography
1097,Mathematics
1098,Engineering
1099,Computer Science
1100,Management Science and Information Systems Studies
1101,Theoretical Physics
1102,Engineering with Management
1103,Computer Science and Language
1104,Middle Eastern and European Languages and Cultures
1105,Religion
1106,Film
1107,History of Art and Architecture
1108,Medicine (HPAT required)
1109,Dental Science
1110,Physiotherapy
1111,Occupational Therapy
1112,Radiation Therapy
1113,Human Health and Disease
1114,Biological and Biomedical Sciences
1115,Chemical Sciences
1116,Geography and Geoscience
1117,Physical Sciences
1118,Pharmacy
1119,Global Business
1120,"Business, Economic and Social Studies (BESS)"
1121,Computer Science and Business
1122,Sociology and Social Policy
1123,Social Studies (Social Work)
1124,Business Studies and French
1125,Business Studies and German
1126,Business Studies and Russian
1127,Business Studies and Polish
1128,Business Studies and Spanish
1129,General Nursing (Meath and St James`s)
1130,General Nursing (Adelaide School of Nursing)
1131,Mental Health Nursing
1132,Intellectual Disability Nursing
1133,Ancient History and Archaeology/Geography
1134,Ancient History and Archaeology/History
1135,Ancient History and Archaeology/History of Art and Architecture
1136,Ancient History and Archaeology/Modern Language
1137,Ancient History and Archaeology/Religion
1138,Classical Civilisation/English Literature
1139,Classical Civilisation/History of Art and Architecture
1140,Classical Civilisation/Modern Language
1141,Classical Civilisation/Philosophy
1142,Economics/Geography
1143,Economics/History
1144,Economics/Mathematics
1145,Economics/Modern Language
1146,Economics/Philosophy
1147,Economics/Sociology
1148,Classical Languages/English Literature
1149,Classical Languages/History of Art and Architecture
1150,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations"
1151,Classical Languages/Modern Language
1152,English Literature/History
1153,English Literature/History of Art and Architecture
1154,English Literature/Philosophy
1155,English Literature/Sociology
1156,English Literature/Drama Studies
1157,English Literature/Modern Language
1158,Film/Drama Studies
1159,Film/English Literature
1160,Film/Music
1161,Geography/History
1162,Drama Studies/Modern Language
1163,Film/Modern Language
1164,Film/History
1165,Geography/Modern Language
1166,Geography/Sociology
1167,History/History of Art and Architecture
1168,History/Modern Language
1169,History/Philosophy
1170,History/Sociology
1171,History/Religion
1172,History of Art and Architecture/Modern Language
1173,History of Art and Architecture/Philosophy
1174,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology"
1175,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation"
1176,"Middle Eastern,Jewish and Islamic Civilisations/History"
1177,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language"
1178,"Middle Eastern,Jewish and Islamic Civilisations/Music"
1179,"Middle Eastern,Jewish and Islamic Civilisations/Religion"
1180,Mathematics/Modern Language
1181,Mathematics/Music
1182,Mathematics/Philosophy
1183,Music/Philosophy
1184,Music/Drama Studies
1185,Music/Modern Language
1186,Music/Religion
1187,Philosophy/Modern Language
1188,Philosophy/Sociology
1189,Religion/Classical Civilisation
1190,Religion/English Literature
1191,Religion/History of Art and Architecture
1192,Religion/Modern Language
1193,French/Modern Language
1194,German/Modern Language
1195,Irish/Modern Language
1196,Italian/Modern Language
1197,Russian/Modern Language
1198,Spanish/Modern Language
1199,Sociology/Drama Studies
1200,Sociology/Modern Language
1201,Dental Nursing
1202,Dental Hygiene
1203,Dental Technology
1204,Children`s and General Nursing (Integrated)
1205,Midwifery
1206,Electronic Engineering
1207,Computer Engineering
1208,Mechanical Engineering
1209,Bar and Restaurant Management
1210,Culinary Arts
1211,Culinary Arts (Professional Cookery Practice)
1212,Food Management and Entrepreneurship
1213,Food Science and Management
1214,Applied Biology
1215,Computing
1216,Computing (Information Technology)
1217,Pharmacy Technician Studies
1218,Computing (Networking Technologies) Learn and Work
1219,Business
1220,Business (Common entry)
1221,Business Management
1222,Business Studies
1223,Marketing
1224,Retail Management and Marketing
1225,Automation Engineering
1226,Biomedical Design
1227,Building Engineering
1228,Civil Engineering
1229,Electrical and Control Engineering
1230,Electrical Services Engineering
1231,Electronic Engineering
1232,Engineering (Common Entry with Award options)
1233,Engineering (General Entry)
1234,Engineering Reliability Management
1235,Mechatronic Engineering
1236,Sustainable Energy and Environmental Engineering
1237,Computer Engineering
1238,Electronics and Communications Engineering
1239,Engineering Software
1240,Networking Technology
1241,Mechanical Engineering
1242,Mechanical Engineering
1243,"Design,Technology and Innovation"
1244,Automotive Management and Technology
1245,Aviation Technology
1246,Process Instrumentation and Automation Learn and Work
1247,"Auctioneering, Valuation and Estate Agency"
1248,Timber Product Technology
1249,Sports Management and Coaching
1250,Sports Science and Health
1251,Baking and Pastry Arts Management
1252,Culinary Arts
1253,Hospitality Management
1254,International Hospitality and Tourism Management
1255,Tourism Management
1256,Biosciences
1257,DNA and Forensic Analysis
1258,Industrial and Environmental Physics
1259,Science (General Entry)
1260,Computing
1261,Computing (Information Technology)
1262,Digital Forensics and Cyber Security
1263,Information Technology Management
1264,Bioanalysis
1265,Ophthalmic Dispensing
1266,Medicinal Chemistry and Pharmaceutical Sciences
1267,Pharmaceutical Science
1268,Business
1269,Business (Common Entry with Award options)
1270,Management
1271,Accounting and Finance
1272,Accounting and Finance
1273,Business and Information Technology
1274,International Business
1275,International Business
1276,Advertising and Marketing Communications
1277,Digital Marketing
1278,Digital Marketing
1279,Marketing
1280,Applied Social Studies in Social Care
1281,Community and Youth Development
1282,Early Childhood Care and Education
1283,Early Childhood Care and Education
1284,Visual Merchandising and Display
1285,Creative Digital Media
1286,Biomedical Design
1287,Electrical Services and Energy Management
1288,Electronic Engineering
1289,Engineering (Common Entry with Award options)
1290,Engineering (General Entry)
1291,Sustainable Energy Engineering
1292,Computer Engineering in Mobile Systems
1293,Engineering Software
1294,Mechanical Engineering
1295,Mechatronic Engineering
1296,Product Design
1297,"Design,Technology and Innovation"
1298,Automation Engineering
1299,Transport Operations and Technology
1300,Architectural Technology
1301,Architecture (Suitability Test and Interview)
1302,Construction Management
1303,Geographic Science
1304,Planning and Environmental Management
1305,Property Economics (Valuation Surveying)
1306,Quantity Surveying and Construction Economics
1307,Analytical Chemistry (Environmental Forensic and Pharmaceutical)
1308,Chemical Sciences with Medicinal Chemistry
1309,Science (General Entry)
1310,Science with Nanotechnology
1311,Computer Science
1312,Computer Science (Infrastructure)
1313,Computer Science (International)
1314,Computing
1315,Computing (Information Technology)
1316,Computing with Language (French/German/Spanish)
1317,Computing with Data Analytics
1318,Digital Forensics and Cyber Security
1319,DNA and Forensic Analysis
1320,Computing with IT Management
1321,Biomedical and Molecular Diagnostics
1322,Biomedical Science
1323,Clinical Measurement Science
1324,Environmental Health
1325,Human Nutrition and Dietetics
1326,Optometry
1327,Public Health Nutrition
1328,Industrial Mathematics
1329,Mathematical Sciences
1330,Pharmaceutical Healthcare
1331,Pharmaceutical Science
1332,Physics Technology
1333,Physics with Energy and Environment
1334,Physics with Medical Physics and Bioengineering
1335,Physics with Data Science
1336,Food Innovation
1337,Nutraceuticals in Health and Nutrition
1338,Business
1339,Business (Common Entry with Award options)
1340,Business and Management
1341,Business and Law
1342,Economics and Finance
1343,Human Resource Management
1344,Logistics and Supply Chain Management
1345,Management
1346,Accounting and Finance
1347,Accounting and Finance
1348,Accounting and Finance
1349,Business Analytics
1350,Business and Information Technology
1351,Business Computing
1352,International Business
1353,International Business
1354,Law (LLB ) with a Language
1355,Law (LLB)
1356,Advertising and Marketing Communications
1357,Digital Marketing
1358,Digital Marketing Technologies
1359,Marketing
1360,Marketing Management
1361,E-Commerce in Retailing
1362,Retail and Services Management
1363,Sports Management and Coaching
1364,Sports Science and Health
1365,Botanical Cuisine
1366,Culinary Arts
1367,Culinary Entrepreneurship
1368,Culinary Science
1369,International Hospitality and Tourism Management
1370,International Hospitality Management
1371,Tourism and Digital Marketing
1372,Event Management
1373,Sports & Leisure Management
1374,Commercial Modern Music
1375,Drama (Performance)
1376,Music
1377,International Business and Languages
1378,Languages and English Studies
1379,Languages and International Tourism
1380,Contemporary Visual Culture
1381,Creative and Cultural Industries
1382,Design - Visual Communication
1383,Fine Art
1384,Interior Design
1385,Photography
1386,Creative Digital Media
1387,Creative Digital Media
1388,Film and Broadcasting
1389,Game Design
1390,Journalism
1391,Print Media Technology and Management
1392,Applied Social Studies in Social Care
1393,Community and Youth Development
1394,Early Childhood Care and Education
1395,Early Childhood Care and Education
1396,Early Childhood Education
1397,Social Care
1398,Applied Social Care
1399,Applied Computing (options)
1400,Science (options)
1401,Business
1402,Health Sciences (options)
1403,Exercise Sciences (options)
1404,Engineering (options)
1405,Electronic Engineering
1406,Mechanical Engineering
1407,Legal Studies
1408,Applied Social Care
1409,Recreation and Sport Management
1410,Construction Management and Engineering
1411,Music
1412,Business (options)
1413,Forestry
1414,Accounting
1415,Hospitality Management
1416,Architectural Technology
1417,Horticulture (Waterford - Kildalton)
1418,Horticulture (Dublin - National Botanic Gardens)
1419,General Nursing
1420,Psychiatric Nursing
1421,Intellectual Disability Nursing
1422,Agriculture
1423,International Business
1424,Design (Visual Communications)
1425,Civil Engineering
1426,Laws
1427,Architecture
1428,Pharmaceutical Science
1429,Early Childhood Studies
1430,Criminal Justice Studies
1431,Software Systems Development
1432,Visual Art
1433,Multimedia Applications Development
1434,Information Technology
1435,Business
1436,Computer Forensics and Security
1437,Quantity Surveying
1438,Psychology
1439,Food Science with Business
1440,Culinary Arts
1441,Hospitality Studies
1442,Tourism
1443,Pharmaceutical Science
1444,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)"
1445,Electrical Engineering
1446,Retail Management
1447,Sports Coaching and Performance
1448,Social Science
1449,Applied Health Care
1450,Agricultural Science
1451,Social Care Practice
1452,Marketing and Digital Media
1453,Culinary Arts
1454,Architectural and Building Information Modelling Technology
1455,Arts (options)
1456,Molecular Biology with Biopharmaceutical Science
1457,Electronic Engineering
1458,Mechanical Engineering
1459,Manufacturing Engineering
1460,Software Systems Development
1461,Creative Computing
1462,Recreation and Sport Management
1463,Mechanical and Manufacturing Engineering
