,COURSE TITLE
207,Environmental Science and Sustainable Technology
208,Agri-Biosciences
209,Accounting
210,Marketing
211,International Business with Language
212,Sport and Exercise Management
213,Montessori Education
214,Engineering (Common Entry)
215,Sustainable Energy Engineering
216,Biomedical Engineering
217,Architectural Technology
218,Interior Architecture
219,Quantity Surveying
220,Construction Management
221,Electrical Engineering
222,Electronic Engineering
223,Visual Communications
224,Early Childhood Education and Care
225,Culinary Arts
226,Beverage Industry Management
227,Culinary Studies
228,Hospitality Studies
229,Tourism Management
230,Theatre and Drama Studies at CIT Cork School of Music
231,Marine Electrotechnology at National Maritime College of Ireland
232,Information Technology
233,Computing in Information Technology
234,Information Technology
235,Information Technology
236,Business
237,Business
238,Business (options)
239,Sustainable Farm Management and Agribusiness
240,Early Childhood Education and Care
241,Business (options)
242,Art (portfolio)
243,Visual Communications and Design
244,Art (portfolio)
245,Tourism and Event Management
246,Applied Social Studies in Professional Social Care
247,Tourism and Event Management
248,Sustainable Farm Management and Agribusiness
249,Visual Communications and Design
250,Physiology and Health Science
251,Analytical Science
252,Science (options)
253,Pharmacy Technician Studies
254,Biosciences
255,Science - Applied Biology or Applied Chemistry
256,Brewing and Distilling
257,Sport and Exercise Science
258,Strength and Conditioning
259,Sport Rehabilitation and Athletic Therapy
260,Computing - Applications or Programming
261,Software Development
262,Computer Games Development
263,Information Technology Management
264,Cybercrime and IT Security
265,Computing in Interactive Digital Art and Design
266,Software Development
267,Information Technology Management
268,Cybercrime and IT Security
269,Computing in Interactive Digital Art and Design
270,Architectural Technology
271,Construction Management with Building Services
272,Civil Engineering
273,Construction (options)
274,Architectural Technology
275,Civil Engineering
276,Aircraft Systems
277,Mechanical Engineering
278,Electronic Engineering
279,TV and Media Production
280,Mechanical Engineering
281,Electronic Systems
282,Aerospace Engineering
283,TV and Media Production
284,Legal Studies
285,Industrial Design
286,Law - LLB
287,Professional Social Care Practice
288,Product Design Innovation
289,Early Childhood Education and Care
290,Professional Social Care Practice
291,Sport Coaching and Business Management - GAA (portfolio)
292,Media and Public Relations
293,Sport Coaching and Business Management - Rugby (portfolio)
294,Sport Coaching and Business Management - Soccer (portfolio)
295,Digital Marketing with Analytics
296,Digital Marketing with Analytics
297,"Sports Management and Coaching (options, portfolio)"
298,Business
299,Business (options)
300,Business (options)
301,Business with Law
302,Accounting
303,Business with Law
304,Accounting
305,Computing
306,Computing (Cloud Computing)
307,Computing (Data Analytics and Big Data)
308,Computing (Software Development)
309,Computing (Web and Mobile Technology)
310,Audio Production and Music Project Management
311,Business Studies
312,Business Studies (Law)
313,Business Studies (Human Resource Management)
314,Financial Services
315,Marketing (Event Management)
316,Accounting and Finance
317,Business (Information Systems)
318,Business (Cloud Computing)
319,Applied Social Care
320,Applied Social Care
321,Marketing
322,Sound Engineering and Music Production
323,Psychology
324,Arts
325,Social Science
326,Film and Creative Media
327,Law
328,Business (Psychology)
329,Business Studies
330,Business in Accounting
331,Business in Marketing
332,Business in Information Technology
333,Film and Creative Media
334,Education - Early Childhood Education
335,Education - Primary Teaching
336,Education - Primary Teaching - Gaeltacht Applicants
337,Education - Primary Teaching (Church of Ireland Centre formerly CICE)
338,Arts (Joint Honours) - Humanities
339,Post Primary Teacher Education - Religious Education and English
340,Post Primary Teacher Education - Religious Education and History
341,Post Primary Teacher Education - Religious Education and Music
342,Post Primary Teacher Ed - Gaeilge with French/German/Spanish
343,BA in Jazz and Contemporary Music Performance (audition)
344,Business Studies International
345,Business Studies
346,Global Business (France)
347,Global Business (Germany)
348,Global Business (Spain)
349,Accounting and Finance
350,Global Business (USA)
351,Aviation Management / Aviation Management with Pilot Studies
352,Gnó agus Gaeilge / Business and Irish
353,Global Business (Canada)
354,Enterprise Computing
355,Computer Applications
356,Data Science
357,Actuarial Mathematics
358,Common Entry into Actuarial and Financial Mathematics
359,Communication Studies
360,Journalism
361,Multimedia
362,Applied Language and Translation Studies
363,Analytical Science
364,Chemical and Pharmaceutical Sciences
365,Environmental Science and Technology
366,Genetics and Cell Biology
367,Physics General Entry (options)
368,Biotechnology
369,Electronic and Computer Engineering (with choice of four majors)
370,Mechatronic Engineering
371,Mechanical and Manufacturing Engineering
372,Biomedical Engineering
373,Common Entry into Engineering (Undenominated Entry)
374,Common Entry into Science (Undenominated Entry)
375,Sport Science and Health
376,Science Education
377,Athletic Therapy and Training
378,Physical Education with Biology
379,Physical Education with Mathematics
380,Psychology
381,Health and Society
382,General Nursing
383,Mental Health Nursing
384,Intellectual Disability Nursing
385,Children`s and General Nursing (Integrated)
386,"Economics, Politics and Law"
387,International Relations
388,Law and Society (BCL)
389,Education and Training - Daytime and Flexible Delivery Mode (full-time)
390,Social Sciences and Cultural Innovation
391,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha"
392,"Marketing, Innovation and Technology"
393,Arts (Joint Honours) - Media Studies
394,Arts (Joint Honours) - Law
395,Arts (Joint Honours) - International Languages
396,Arts (Joint Honours) - Politics
397,Business and Management
398,Business and Technology
399,Digital Marketing and Public Relations
400,Computing
401,Augmented and Virtual Reality
402,Building Surveying
403,Architectural Technology
404,Construction Management
405,Engineering - Electrical and Electronic Systems
406,Engineering - Mechanical Engineering
407,Engineering - Civil Engineering
408,Hospitality Management
409,Event Management
410,Culinary Arts
411,"Sport, Exercise and Enterprise"
412,Community Youth Work (interview)
413,Audio and Music Production
414,Creative Media
415,Theatre & Film Practice
416,Musical Theatre (audition)
417,Science - Bioscience
418,Science - Pharmaceutical Science
419,Veterinary Nursing
420,Accounting and Finance
421,Business Studies
422,Computing in Games Development
423,Computing in Software Development
424,Augmented and Virtual Reality
425,Building Surveying
426,Architectural Technology
427,Construction Management
428,Engineering (Common Entry)
429,Mechanical Engineering
430,Electrical & Electronic Engineering
431,Civil Engineering
432,International Tourism Management
433,Music (audition)
434,Arts
435,Social Care
436,Creative Media
437,Film and Television Production
438,Audio and Music Production
439,General Nursing
440,Intellectual Disability Nursing
441,Mental Health Nursing
442,Early Childhood Studies
443,Midwifery
444,Health and Physical Activity
445,Agriculture (Award options)
446,Science (Award options)
447,Sustainable Agriculture
448,Agri-Food Production
449,Biopharmaceutical Science
450,Environmental Science
451,Business - Applied Entrepreneurship
452,"English, Media and Cultural Studies"
453,Arts Management
454,Business Management
455,Applied Psychology
456,Visual Communication Design
457,Art
458,"3D Design, Modelmaking and Digital Art"
459,Design for Stage and Screen (Costume Design)
460,Design for Stage and Screen (Character Makeup Design)
461,Design for Stage and Screen (Production Design)
462,Animation
463,Photography
464,Film and Television Production
465,Creative Computing
466,New Media Studies
467,Creative Music Production
468,Interaction and User Experience Design
469,Digital Marketing
470,English and Equality Studies
471,Architecture
472,Landscape Architecture
473,City Planning and Environmental Policy
474,Engineering (Common Entry)
475,Science (options)
476,Computer Science (Common Entry)
477,Actuarial and Financial Studies
478,Sustainability
479,Agricultural Science (options)
480,Dairy Business
481,Agri - Environmental Sciences
482,Food Science
483,Human Nutrition
484,Forestry
485,"Horticulture, Landscape and Sportsturf Management"
486,Veterinary Medicine - Undergraduate Entry
487,Veterinary Medicine - Graduate Entry (GAMSAT required)
488,Veterinary Nursing
489,Medicine - Undergraduate Entry (HPAT required)
490,Medicine - Graduate Entry (GAMSAT required)
491,Radiography
492,Radiography - Graduate Entry
493,Physiotherapy
494,Health and Performance Science
495,Sport and Exercise Management
496,"Biomedical, Health and Life Sciences"
497,General Nursing
498,Children`s and General Nursing (Integrated)
499,Midwifery
500,Mental Health Nursing
501,Joint Honours (options)
502,Humanities (options)
503,Modern Languages (options)
504,Law (options)
505,Business and Law
506,Commerce
507,Commerce International (options)
508,Economics and Finance
509,Social Sciences (options)
510,Economics
511,Psychology
512,Social Policy and Sociology
513,Computing and Multimedia (Level 6 - Higher Certificate)
514,Computing and Multimedia (Level 6 - Certificate)
515,Business
516,Computing and Multimedia (Level 7)
517,Business
518,Business
519,Business Information Systems
520,Rural Enterprise and Agri-Business
521,Marketing and Sales
522,Finance
523,Business with Entrepreneurship
524,Accounting
525,Business
526,Business Information Systems
527,Marketing and Sales
528,Finance and Economics
529,Business with Entrepreneurship
530,Rural Enterprise and Agri-Business
531,Heritage Studies
532,Contemporary Art
533,Design
534,Film and Documentary
535,Heritage Studies
536,Contemporary Art
537,Design
538,"Education (Art, Design and Graphics)"
539,Business in Tourism
540,Culinary Arts
541,Hotel and Hospitality Operations
542,Heritage Studies
543,Hotel and Catering Management
544,Event Management with Public Relations
545,International Tourism Management
546,Culinary and Gastronomic Science
547,International Hotel Management
548,International Tourism Management
549,Culinary and Gastronomic Science
550,Event Management with Public Relations
551,Construction Management
552,Quantity Surveying and Construction Economics
553,Architectural Technology
554,Civil Engineering
555,Construction Management
556,Quantity Surveying and Construction Economics
557,Architectural Technology
558,Civil Engineering
559,Software and Electronic Engineering
560,Software and Electronic Engineering
561,Mechanical Engineering
562,Energy Engineering
563,Biomedical Engineering
564,Agricultural Engineering
565,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng)
566,Manufacturing Engineering Design
567,Mechanical Engineering
568,Energy Engineering
569,Biomedical Engineering
570,Agricultural Engineering
571,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng)
572,Manufacturing Engineering Design
573,Applied Freshwater and Marine Biology
574,Applied Biology and Biopharmaceutical Science
575,Chemical and Pharmaceutical Science
576,Physics and Instrumentation
577,Science (Undenominated)
578,Computing in Software Development
579,Computing and Digital Media
580,Agriculture and Environmental Management
581,Applied Freshwater and Marine Biology
582,Applied Biology and Biopharmaceutical Science
583,Chemical and Pharmaceutical Science
584,Physics and Instrumentation
585,Science (Undenominated)
586,Medical Science
587,Forensic Science and Analysis
588,Computing in Software Development
589,Computing and Digital Media
590,Agriculture and Environmental Management
