COURSE CODE,COURSE TITLE,2020 EOS,2020 EOS RANDOM,2020 MID,2020 R1 POINTS,2020 R1 RANDOM,2020 R2 POINTS,2020 R2 RANDOM,LEVEL,New,2020 EOS Portfolio
CK405,Genetics,487,False,498,487,False,,False,8,487,
CK406,Chemical Sciences,462,False,494,485,False,472,False,8,462,
CK407,Mathematical Sciences,565,False,601,566,False,565,True,8,565,
CK408,Physics and Astrophysics,531,True,589,554,False,542,False,8,531,
CK409,Industrial Physics - Offered jointly by UCC and CIT,432,False,499,432,False,,False,8,432,
CK411,Data Science and Analytics,509,False,554,510,False,,False,8,509,
CK412,Agricultural Science,489,True,510,496,True,496,True,8,489,
CK504,Nutritional Sciences,517,True,554,518,False,,False,8,517,
CK505,Food Science,420,False,465,441,False,440,True,8,420,
CK600,Engineering,487,False,532,487,False,,False,8,487,
CK606,Architecture - Offered jointly by UCC and CIT,469,False,510,484,False,476,False,8,469,
CK701,Medicine (Undergraduate Entry - HPAT required),731,False,739,731,False,,False,8,731,
CK702,Dentistry,613,True,613,613,True,613,True,8,613,
CK703,Pharmacy,589,True,602,590,False,589,True,8,589,
CK704,Occupational Therapy,555,True,577,566,False,555,True,8,555,
CK705,Speech and Language Therapy,520,False,541,520,False,,False,8,520,
CK706,Public Health Sciences,454,False,477,454,False,,False,8,454,
CK707,Medical and Health Sciences,541,False,555,542,False,541,False,8,541,
CK710,General Nursing,454,True,477,454,True,,False,8,454,
CK712,Children`s and General Nursing (Integrated),533,False,553,533,False,,False,8,533,
CK720,Mental Health Nursing,419,False,440,423,False,,False,8,419,
CK730,Intellectual Disability Nursing,400,False,433,419,False,411,False,8,400,
CK740,Midwifery,473,True,507,484,False,,False,8,473,
CK791,Medicine  - Graduate Entry (GAMSAT required),57,True,58,57,True,,False,8,57,
CM001,Education - Primary Teaching,484,True,487,484,True,,False,8,484,
CM002,Education - Primary Teaching - Gaeltacht Applicants,nan,False,,,False,,False,8,,
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,False,570,528,False,,False,8,528,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,False,513,494,False,,False,8,494,
CM010,Education Studies,317,False,407,319,False,,False,8,317,
CM020,Early Childhood Education,327,False,390,327,False,,False,8,327,
CR001,Applied Physics and Instrumentation,250,False,487,250,False,,False,6/7,250,
CR006,Applied Biosciences,361,False,489,361,False,,False,6/7,361,
CR007,Analytical and Pharmaceutical Chemistry,240,False,487,240,False,,False,6/7,240,
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,False,422,321,False,,False,6/7,321,
CR016,Software Development,307,False,413,307,False,,False,6/7,307,
CR021,Business (Common Entry),255,False,433,255,False,,False,6/7,255,
CR022,Business Administration,190,False,336,190,False,,False,6/7,190,
CR031,Social Care Work,346,False,411,346,False,,False,6/7,346,
CR032,Recreation and Leisure Management,298,False,378,298,False,,False,6/7,298,
CR035,Community Development,100,False,251,100,False,,False,6/7,100,
CR041,Tourism Management,216,False,399,216,False,,False,6/7,216,
CR042,Hospitality Management,208,False,316,208,False,,False,6/7,208,
CR046,Automotive Technology and Management,216,False,337,216,False,,False,6/7,216,
CR051,Civil Engineering,248,False,451,248,False,,False,6/7,248,
CR052,Construction,251,False,367,251,False,,False,6/7,251,
CR053,Interior Architecture,308,False,434,308,False,,False,6/7,308,
CR055,Environmental Engineering,258,False,409,258,False,,False,6/7,258,
CR061,Electronic Engineering,260,False,444,260,False,,False,6/7,260,
CR062,Electrical Engineering,300,False,401,300,False,,False,6/7,300,
CR071,Mechanical Engineering,261,False,444,261,False,,False,6/7,261,
CR075,Biomedical Engineering,306,False,498,306,False,,False,6/7,306,
CR090,Architectural Technology,266,False,411,266,False,,False,6/7,266,
CR094,Nautical Science at National Maritime College of Ireland,243,False,380,243,False,,False,6/7,243,
CR095,Marine Engineering at National Maritime College of Ireland,255,False,389,255,False,,False,6/7,255,
CR105,Chemical and Biopharmaceutical Engineering,443,False,532,443,False,,False,8,443,
CR106,Software Development,411,False,463,411,False,,False,8,411,
CR108,Mechanical Engineering,434,False,509,434,False,,False,8,434,
CR109,Structural Engineering,394,False,423,394,False,,False,8,394,
CR110,Automotive Business Management and Technology,311,False,362,311,False,,False,8,311,
CR112,Creative Digital Media,361,False,430,361,False,,False,8,361,
CR116,Computer Systems,332,False,393,332,False,,False,8,332,
CR121,Music at CIT Cork School of Music,912,False,1078,868,False,,False,8,912,
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,False,1088,1088,False,,False,8,1088,
CR126,Popular Music: Drums at CIT Cork School of Music,801,False,940,801,False,,False,8,801,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,768,False,978,838,False,768,False,8,768,
CR128,Popular Music: Keyboards at CIT Cork School of Music,840,False,881,840,False,,False,8,840,
CR129,Popular Music: Voice at CIT Cork School of Music,841,False,966,841,False,,False,8,841,
CR130,Musical Theatre at CIT Cork School of Music,505,False,600,548,False,518,False,8,505,
CR150,Business Information Systems,335,False,391,335,False,,False,8,335,
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#+matric,False,#+matric,#+matric,False,,False,8,,#
CR220,Fine Art at CIT Crawford College of Art and Design,#+matric,False,#+matric,#+matric,False,,False,8,,#
CR225,Photography with New Media,#+matric,False,#+matric,#+matric,False,,False,8,,#
CR300,Physical Sciences (Common Entry),282,False,476,282,False,,False,6/7,282,
CR305,Physical Sciences (Common Entry),282,False,356,282,False,,False,8,282,
CR310,IT Management,297,False,339,297,False,,False,8,297,
CR320,Biomedical Science - Offered jointly by CIT and UCC,565,False,577,565,False,,False,8,565,
CR325,Pharmaceutical Biotechnology,398,False,440,398,False,,False,8,398,
CR333,Nutrition and Health Science,402,False,433,402,False,,False,8,402,
CR335,Biological Sciences (Common Entry),420,False,451,420,False,,False,8,420,
CR340,Analytical Chemistry with Quality Assurance,251,False,366,251,False,,False,8,251,
CR360,Instrument Engineering,261,False,388,261,False,,False,8,261,
CR365,Environmental Science and Sustainable Technology,253,False,341,253,False,,False,8,253,
CR370,Agri-Biosciences,397,False,453,397,False,,False,8,397,
CR400,Accounting,316,False,413,316,False,,False,8,316,
CR420,Marketing,285,False,346,285,False,,False,8,285,
CR425,International Business with Language,298,False,412,298,False,,False,8,298,
CR430,Sport and Exercise Management,322,False,407,322,False,,False,8,322,
CR440,Montessori Education,288,False,362,288,False,,False,8,288,
CR500,Engineering (Common Entry),411,False,465,411,False,,False,8,411,
CR510,Sustainable Energy Engineering,320,False,389,320,False,,False,8,320,
CR520,Biomedical Engineering,444,False,488,444,False,,False,8,444,
CR560,Architectural Technology,308,False,377,308,False,,False,8,308,
CR565,Interior Architecture,359,False,423,359,False,,False,8,359,
CR570,Quantity Surveying,336,False,392,336,False,,False,8,336,
CR572,Construction Management,269,False,318,269,False,,False,8,269,
CR580,Electrical Engineering,318,False,377,318,False,,False,8,318,
CR590,Electronic Engineering,303,False,379,303,False,,False,8,303,
CR600,Visual Communications,#+matric,False,#+matric,#+matric,False,,False,8,,#
CR620,Early Childhood Education and Care,357,False,454,365,False,357,False,6/7,357,
CR640,Culinary Arts,244,False,392,244,False,,False,6/7,244,
CR650,Beverage Industry Management,209,False,316,209,False,,False,6/7,209,
CR655,Culinary Studies,189,False,290,189,False,,False,6/7,189,
CR657,Hospitality Studies,163,False,198,180,False,163,False,6/7,163,
CR660,Tourism Management,252,False,325,252,False,,False,8,252,
CR700,Theatre and Drama Studies at CIT Cork School of Music,645,False,982,740,False,645,False,8,645,
CR805,Marine Electrotechnology at National Maritime College of Ireland,235,False,326,235,False,,False,6/7,235,
CR888,Information Technology,290,False,372,290,False,,False,6/7,290,
CT110,Computing in Information Technology,210,False,400,210,False,,False,6/7,210,
CT116,Information Technology,219,False,263,219,False,,False,6/7,219,
CT125,Information Technology,220,False,299,220,False,,False,8,220,
CT325,Business,281,False,338,338,False,,False,8,281,
CW006,Business,AQA,False,254,AQA,False,AQA,False,6/7,,
CW018,Business (options),248,False,312,298,False,248,False,8,248,
CW027,Sustainable Farm Management and Agribusiness,268,False,360,266,False,,False,6/7,268,
CW028,Early Childhood Education and Care,252,False,301,252,False,,False,8,252,
CW037,Business (options),195,False,400,195,False,,False,6/7,195,
CW038,Art (portfolio),700,False,700,700,False,,False,8,700,
CW047,Visual Communications and Design,181,False,336,214,False,181,False,6/7,181,
CW057,Art (portfolio),700,False,700,700,False,,False,6/7,700,
CW058,Tourism and Event Management,298,False,348,298,False,,False,8,298,
CW068,Applied Social Studies in Professional Social Care,245,False,292,245,False,,False,8,245,
CW077,Tourism and Event Management,217,False,311,217,False,,False,6/7,217,
CW078,Sustainable Farm Management and Agribusiness,269,False,327,269,False,,False,8,269,
CW088,Visual Communications and Design,274,False,340,274,False,,False,8,274,
CW106,Physiology and Health Science,451,False,509,451,False,,False,6/7,451,
CW107,Analytical Science,277,False,445,277,False,,False,6/7,277,
CW108,Science (options),261,False,346,261,False,,False,8,261,
CW116,Pharmacy Technician Studies,250,False,388,250,False,,False,6/7,250,
CW117,Biosciences,205,False,380,205,False,,False,6/7,205,
CW126,Science - Applied Biology or Applied Chemistry,191,False,424,191,False,,False,6/7,191,
CW128,Brewing and Distilling,263,False,318,263,False,,False,8,263,
CW138,Sport and Exercise Science,423,False,444,423,False,,False,8,423,
CW148,Strength and Conditioning,379,False,400,379,False,,False,8,379,
CW188,Sport Rehabilitation and Athletic Therapy,448,False,466,451,False,448,False,8,448,
CW206,Computing - Applications or Programming,235,False,369,235,False,,False,6/7,235,
CW207,Software Development,244,False,329,244,False,,False,6/7,244,
CW208,Computer Games Development,279,False,327,279,False,,False,8,279,
CW217,Information Technology Management,234,False,377,234,False,,False,6/7,234,
CW227,Cybercrime and IT Security,242,False,357,233,False,,False,6/7,242,
CW237,Computing in Interactive Digital Art and Design,212,False,337,212,False,,False,6/7,212,
CW238,Software Development,297,False,341,297,False,,False,8,297,
CW248,Information Technology Management,285,False,385,285,False,,False,8,285,
CW258,Cybercrime and IT Security,293,False,358,293,False,,False,8,293,
CW268,Computing in Interactive Digital Art and Design,287,False,369,287,False,,False,8,287,
CW407,Architectural Technology,188,False,358,188,False,,False,6/7,188,
CW417,Construction Management with Building Services,220,False,322,220,False,,False,6/7,220,
CW427,Civil Engineering,199,False,347,199,False,,False,6/7,199,
CW438,Construction (options),272,False,336,272,False,,False,8,272,
CW468,Architectural Technology,262,False,358,262,False,,False,8,262,
CW478,Civil Engineering,433,False,492,433,False,,False,8,433,
CW507,Aircraft Systems,294,False,399,293,False,,False,6/7,294,
CW517,Mechanical Engineering,276,False,371,276,False,,False,6/7,276,
CW527,Electronic Engineering,227,False,357,227,False,,False,6/7,227,
CW547,TV and Media Production,301,False,413,301,False,,False,6/7,301,
CW548,Mechanical Engineering,321,False,371,321,False,,False,8,321,
CW558,Electronic Systems,280,False,361,280,False,,False,8,280,
CW568,Aerospace Engineering,380,False,442,380,False,,False,8,380,
CW578,TV and Media Production,325,False,420,325,False,,False,8,325,
CW706,Legal Studies,163,False,377,163,False,,False,6/7,163,
CW707,Industrial Design,207,False,380,207,False,,False,6/7,207,
CW708,Law - LLB,302,False,349,302,False,,False,8,302,
CW717,Professional Social Care Practice,288,False,347,288,False,,False,6/7,288,
CW728,Product Design Innovation,252,False,359,252,False,,False,8,252,
CW748,Early Childhood Education and Care,270,False,327,270,False,,False,8,270,
CW758,Professional Social Care Practice,336,False,358,336,False,,False,8,336,
CW807,Sport Coaching and Business Management - GAA (portfolio),700,False,700,700,False,,False,6/7,700,
CW808,Media and Public Relations,251,False,298,251,False,,False,8,251,
CW817,Sport Coaching and Business Management - Rugby (portfolio),700,False,700,700,False,,False,6/7,700,
CW827,Sport Coaching and Business Management - Soccer (portfolio),700,False,700,700,False,,False,6/7,700,
CW837,Digital Marketing with Analytics,200,False,356,200,False,,False,6/7,200,
CW848,Digital Marketing with Analytics,269,False,326,254,False,,False,8,269,
CW858,"Sports Management and Coaching (options, portfolio)",700,False,700,700,False,,False,8,700,
CW906,Business,177,False,297,177,False,,False,6/7,177,
CW908,Business (options),280,False,357,280,False,,False,8,280,
CW917,Business (options),224,False,378,224,False,,False,6/7,224,
CW926,Business with Law,210,False,409,210,False,,False,6/7,210,
CW936,Accounting,231,False,403,231,False,,False,6/7,231,
CW938,Business with Law,283,False,301,283,False,,False,8,283,
CW948,Accounting,300,False,364,300,False,,False,8,300,
DB500,Computing,218,False,301,218,False,218,False,8,218,
DB501,Computing (Cloud Computing),227,False,280,227,False,227,False,8,227,
DB502,Computing (Data Analytics and Big Data),334,False,377,341,False,341,False,8,334,
DB503,Computing (Software Development),225,False,281,225,False,225,False,8,225,
DB504,Computing (Web and Mobile Technology),281,False,281,,False,281,False,8,281,
DB510,Audio Production and Music Project Management,223,False,290,234,False,223,False,8,223,
DB512,Business Studies,203,False,308,218,False,203,False,8,203,
DB514,Business Studies (Law),251,False,270,252,False,,False,8,251,
DB515,Business Studies (Human Resource Management),244,False,326,244,False,244,False,8,244,
DB516,Financial Services,nan,False,,,False,,False,8,,
DB517,Marketing (Event Management),238,False,309,238,False,,False,8,238,
DB521,Accounting and Finance,195,False,318,225,False,195,False,8,195,
DB524,Business (Information Systems),309,False,409,342,False,309,False,8,309,
DB526,Business (Cloud Computing),347,False,423,347,False,,False,8,347,
DB527,Applied Social Care,234,False,306,234,False,260,False,8,234,
DB528,Applied Social Care,AQA,False,337,AQA,False,AQA,False,6/7,,
DB531,Marketing,293,False,336,293,False,,False,8,293,
DB534,Sound Engineering and Music Production,AQA,False,338,AQA,False,AQA,False,6/7,,
DB562,Psychology,229,False,322,243,False,229,False,8,229,
DB563,Arts,161,False,357,161,False,189,False,6/7,161,
DB566,Social Science,220,False,290,220,False,227,False,8,220,
DB567,Film and Creative Media,202,False,290,218,False,202,False,8,202,
DB568,Law,217,False,309,219,False,252,False,8,217,
DB569,Business (Psychology),252,False,284,252,False,,False,8,252,
DB571,Business Studies,122,False,398,173,False,211,False,6/7,122,
DB572,Business in Accounting,117,False,368,119,False,117,False,6/7,117,
DB573,Business in Marketing,117,False,388,117,False,146,False,6/7,117,
DB574,Business in Information Technology,136,False,388,136,False,388,False,6/7,136,
DB576,Film and Creative Media,AQA,False,338,AQA,False,AQA,False,6/7,,
DC001,Education - Early Childhood Education,440,False,462,440,False,,False,8,440,
DC002,Education - Primary Teaching,488,False,520,488,False,,False,8,488,
DC003,Education - Primary Teaching - Gaeltacht Applicants,445,False,462,445,False,,False,8,445,
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),409,False,463,411,False,409,False,8,409,
DC009,Arts (Joint Honours) - Humanities,376,False,423,376,False,,False,8,376,
DC010,Post Primary Teacher Education - Religious Education and English,429,False,465,441,False,429,False,8,429,
DC011,Post Primary Teacher Education - Religious Education and History,391,False,429,412,False,391,False,8,391,
DC012,Post Primary Teacher Education - Religious Education and Music,378,False,420,378,False,,False,8,378,
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,False,487,419,False,,False,8,419,
DC014,BA in Jazz and Contemporary Music Performance (audition),419,False,605,419,False,,False,8,419,
DC110,Business Studies International,465,False,488,465,False,,False,8,465,
DC111,Business Studies,488,False,507,488,False,,False,8,488,
DC112,Global Business (France),510,False,532,517,False,510,False,8,510,
DC113,Global Business (Germany),462,False,496,462,False,,False,8,462,
DC114,Global Business (Spain),522,False,545,522,False,,False,8,522,
DC115,Accounting and Finance,510,False,544,510,False,,False,8,510,
DC116,Global Business (USA),579,False,601,579,False,,False,8,579,
DC117,Aviation Management / Aviation Management with Pilot Studies,475,False,500,476,False,475,False,8,475,
DC118,Gnó agus Gaeilge / Business and Irish,359,False,429,359,False,,False,8,359,
DC119,Global Business (Canada),564,False,577,564,False,,False,8,564,
DC120,Enterprise Computing,357,False,392,357,False,,False,8,357,
DC121,Computer Applications,400,False,455,400,False,,False,8,400,
DC123,Data Science,465,False,531,465,False,,False,8,465,
DC126,Actuarial Mathematics,560,False,578,560,False,,False,8,560,
DC127,Common Entry into Actuarial and Financial Mathematics,520,False,543,532,False,520,False,8,520,
DC131,Communication Studies,402,False,451,407,False,402,False,8,402,
DC132,Journalism,422,False,466,429,False,422,False,8,422,
DC133,Multimedia,410,False,451,411,False,410,False,8,410,
DC155,Applied Language and Translation Studies,387,False,444,387,False,,False,8,387,
DC161,Analytical Science,489,False,510,498,True,489,False,8,489,
DC162,Chemical and Pharmaceutical Sciences,521,False,544,521,False,,False,8,521,
DC166,Environmental Science and Technology,399,False,441,433,False,399,False,8,399,
DC168,Genetics and Cell Biology,510,False,529,512,True,510,False,8,510,
DC175,Physics General Entry (options),402,False,467,419,False,402,False,8,402,
DC181,Biotechnology,495,False,511,499,False,495,False,8,495,
DC190,Electronic and Computer Engineering (with choice of four majors),413,False,465,413,False,,False,8,413,
DC193,Mechatronic Engineering,411,False,487,411,False,,False,8,411,
DC195,Mechanical and Manufacturing Engineering,425,False,487,425,False,,False,8,425,
DC197,Biomedical Engineering,423,False,477,423,False,,False,8,423,
DC200,Common Entry into Engineering (Undenominated Entry),422,False,487,422,False,,False,8,422,
DC201,Common Entry into Science (Undenominated Entry),488,False,499,498,True,488,False,8,488,
DC202,Sport Science and Health,498,True,521,500,False,498,True,8,498,
DC203,Science Education,435,False,487,435,False,,False,8,435,
DC204,Athletic Therapy and Training,519,False,533,522,False,519,False,8,519,
DC205,Physical Education with Biology,531,False,553,531,False,,False,8,531,
DC206,Physical Education with Mathematics,499,False,520,499,False,,False,8,499,
DC208,Psychology,521,False,533,532,False,521,False,8,521,
DC209,Health and Society,440,False,466,465,False,440,False,8,440,
DC215,General Nursing,433,False,462,454,False,433,False,8,433,
DC216,Mental Health Nursing,403,False,424,418,False,403,False,8,403,
DC217,Intellectual Disability Nursing,370,False,390,370,False,,False,8,370,
DC218,Children`s and General Nursing (Integrated),498,False,522,500,False,498,False,8,498,
DC230,"Economics, Politics and Law",435,False,462,435,False,,False,8,435,
DC231,International Relations,397,False,433,397,False,,False,8,397,
DC232,Law and Society (BCL),466,False,496,466,False,,False,8,466,
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,False,357,309,False,,False,8,309,
DC238,Social Sciences and Cultural Innovation,377,False,411,377,False,,False,8,377,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,False,473,430,False,,False,8,430,
DC240,"Marketing, Innovation and Technology",474,False,498,476,False,474,False,8,474,
DC291,Arts (Joint Honours) - Media Studies,376,False,409,376,False,,False,8,376,
DC292,Arts (Joint Honours) - Law,403,False,430,403,False,,False,8,403,
DC293,Arts (Joint Honours) - International Languages,377,False,466,377,False,,False,8,377,
DC295,Arts (Joint Honours) - Politics,376,False,409,376,False,,False,8,376,
DK710,Business and Management,120,False,352,120,False,120,False,6/7,120,
DK711,Business and Technology,191,False,327,191,False,,False,6/7,191,
DK712,Digital Marketing and Public Relations,100,False,349,100,False,100,False,6/7,100,
DK721,Computing,106,False,326,106,False,106,False,6/7,106,
DK722,Augmented and Virtual Reality,144,False,348,144,False,144,False,6/7,144,
DK730,Building Surveying,165,False,330,165,False,,False,6/7,165,
DK731,Architectural Technology,332,False,392,332,False,,False,6/7,332,
DK732,Construction Management,120,False,321,120,False,,False,6/7,120,
DK740,Engineering - Electrical and Electronic Systems,179,False,339,179,False,179,False,6/7,179,
DK742,Engineering - Mechanical Engineering,166,False,312,166,False,166,False,6/7,166,
DK744,Engineering - Civil Engineering,157,False,341,190,False,157,False,6/7,157,
DK750,Hospitality Management,176,False,279,176,False,176,False,6/7,176,
DK752,Event Management,175,False,347,175,False,175,False,6/7,175,
DK753,Culinary Arts,182,False,387,182,False,182,False,6/7,182,
DK763,"Sport, Exercise and Enterprise",225,False,329,233,False,,False,6/7,225,
DK767,Community Youth Work (interview),240,False,330,240,False,240,False,6/7,240,
DK768,Audio and Music Production,261,False,361,261,False,,False,6/7,261,
DK769,Creative Media,165,False,318,165,False,165,False,6/7,165,
DK770,Theatre & Film Practice,190,False,388,190,False,190,False,6/7,190,
DK771,Musical Theatre (audition),nan,False,,,False,,False,6/7,,
DK781,Science - Bioscience,208,False,381,358,False,328,False,6/7,208,
DK783,Science - Pharmaceutical Science,210,False,362,349,False,317,False,6/7,210,
DK784,Veterinary Nursing,399,False,445,399,False,,False,6/7,399,
DK810,Accounting and Finance,305,False,401,305,False,305,False,8,305,
DK816,Business Studies,300,False,367,300,False,300,False,8,300,
DK820,Computing in Games Development,311,False,348,311,False,311,False,8,311,
DK821,Computing in Software Development,302,False,361,302,False,302,False,8,302,
DK822,Augmented and Virtual Reality,304,False,380,307,False,,False,8,304,
DK830,Building Surveying,336,False,352,336,False,,False,8,336,
DK831,Architectural Technology,389,False,433,389,False,,False,8,389,
DK832,Construction Management,387,False,419,387,False,,False,8,387,
DK843,Engineering (Common Entry),340,False,439,340,False,340,False,8,340,
DK844,Mechanical Engineering,305,False,448,305,False,305,False,8,305,
DK845,Electrical & Electronic Engineering,304,False,392,304,False,304,False,8,304,
DK846,Civil Engineering,361,False,392,391,False,361,False,8,361,
DK850,International Tourism Management,317,False,377,317,False,317,False,8,317,
DK860,Music (audition),503,False,634,532,False,532,False,8,503,
DK861,Arts,302,False,363,302,False,302,False,8,302,
DK862,Social Care,301,False,347,301,False,,False,8,301,
DK863,Creative Media,308,False,337,308,False,308,False,8,308,
DK864,Film and Television Production,300,False,402,300,False,300,False,8,300,
DK865,Audio and Music Production,301,False,367,301,False,,False,8,301,
DK870,General Nursing,397,True,419,403,False,401,False,8,397,
DK872,Intellectual Disability Nursing,336,False,358,336,False,,False,8,336,
DK874,Mental Health Nursing,356,False,379,356,False,,False,8,356,
